#N_{tot} = 10^5
## X	 |N
0.004150270	85.00000
0.004650270	28.00000
0.005150270	54.00000
0.005650270	59.00000
0.006150270	69.00000
0.006650270	1357.000
0.007150270	2851.000
0.007650270	333.0000
0.008150270	86.00000
0.008650270	45.00000
0.009150270	44.00000
0.009650270	45.00000
0.01015027	45.00000
0.01065027	47.00000
0.01115027	44.00000
0.01165027	58.00000
0.01215027	206.0000
0.01265027	2659.000
0.01315027	1525.000
0.01365027	986.0000
0.01415027	312.0000
0.01465027	57.00000
0.01515027	36.00000
0.01565027	40.00000
