#N_{tot} = 10^5
## X	 |Y	 |N
0.0001502700	(0.05790120)	0
0.0001502700	(0.05290120)	2.000000
0.0001502700	(0.04790120)	0
0.0001502700	(0.04290120)	1.000000
0.0001502700	(0.03790120)	0
0.0001502700	(0.03290120)	0
0.0001502700	(0.02790120)	0
0.0001502700	(0.02290120)	1.000000
0.0001502700	(0.01790120)	4.000000
0.0001502700	(0.01290120)	4.000000
0.0001502700	(0.007901200)	5.000000
0.0001502700	(0.002901200)	9.000000
0.0001502700	0.002098800	53.00000
0.0001502700	0.007098800	3.000000
0.0001502700	0.01209880	0
0.0001502700	0.01709880	1.000000
0.0001502700	0.02209880	0
0.0001502700	0.02709880	1.000000
0.0001502700	0.03209880	0
0.0001502700	0.03709880	0
0.0001502700	0.04209880	0
0.0001502700	0.04709880	0
0.0001502700	0.05209880	1.000000
0.0001502700	0.05709880	0
0.0006502700	(0.05790120)	0
0.0006502700	(0.05290120)	0
0.0006502700	(0.04790120)	1.000000
0.0006502700	(0.04290120)	0
0.0006502700	(0.03790120)	0
0.0006502700	(0.03290120)	0
0.0006502700	(0.02790120)	2.000000
0.0006502700	(0.02290120)	2.000000
0.0006502700	(0.01790120)	0
0.0006502700	(0.01290120)	0
0.0006502700	(0.007901200)	3.000000
0.0006502700	(0.002901200)	3.000000
0.0006502700	0.002098800	9.000000
0.0006502700	0.007098800	1.000000
0.0006502700	0.01209880	0
0.0006502700	0.01709880	2.000000
0.0006502700	0.02209880	2.000000
0.0006502700	0.02709880	1.000000
0.0006502700	0.03209880	1.000000
0.0006502700	0.03709880	1.000000
0.0006502700	0.04209880	0
0.0006502700	0.04709880	0
0.0006502700	0.05209880	0
0.0006502700	0.05709880	0
0.001150270	(0.05790120)	0
0.001150270	(0.05290120)	0
0.001150270	(0.04790120)	2.000000
0.001150270	(0.04290120)	2.000000
0.001150270	(0.03790120)	1.000000
0.001150270	(0.03290120)	1.000000
0.001150270	(0.02790120)	0
0.001150270	(0.02290120)	2.000000
0.001150270	(0.01790120)	2.000000
0.001150270	(0.01290120)	0
0.001150270	(0.007901200)	3.000000
0.001150270	(0.002901200)	10.00000
0.001150270	0.002098800	15.00000
0.001150270	0.007098800	1.000000
0.001150270	0.01209880	2.000000
0.001150270	0.01709880	2.000000
0.001150270	0.02209880	5.000000
0.001150270	0.02709880	2.000000
0.001150270	0.03209880	0
0.001150270	0.03709880	2.000000
0.001150270	0.04209880	0
0.001150270	0.04709880	0
0.001150270	0.05209880	1.000000
0.001150270	0.05709880	1.000000
0.001650270	(0.05790120)	1.000000
0.001650270	(0.05290120)	2.000000
0.001650270	(0.04790120)	3.000000
0.001650270	(0.04290120)	1.000000
0.001650270	(0.03790120)	2.000000
0.001650270	(0.03290120)	1.000000
0.001650270	(0.02790120)	1.000000
0.001650270	(0.02290120)	0
0.001650270	(0.01790120)	0
0.001650270	(0.01290120)	0
0.001650270	(0.007901200)	8.000000
0.001650270	(0.002901200)	6.000000
0.001650270	0.002098800	8.000000
0.001650270	0.007098800	8.000000
0.001650270	0.01209880	7.000000
0.001650270	0.01709880	1.000000
0.001650270	0.02209880	1.000000
0.001650270	0.02709880	2.000000
0.001650270	0.03209880	2.000000
0.001650270	0.03709880	2.000000
0.001650270	0.04209880	0
0.001650270	0.04709880	0
0.001650270	0.05209880	1.000000
0.001650270	0.05709880	2.000000
0.002150270	(0.05790120)	1.000000
0.002150270	(0.05290120)	0
0.002150270	(0.04790120)	1.000000
0.002150270	(0.04290120)	1.000000
0.002150270	(0.03790120)	2.000000
0.002150270	(0.03290120)	3.000000
0.002150270	(0.02790120)	0
0.002150270	(0.02290120)	1.000000
0.002150270	(0.01790120)	0
0.002150270	(0.01290120)	6.000000
0.002150270	(0.007901200)	8.000000
0.002150270	(0.002901200)	11.00000
0.002150270	0.002098800	20.00000
0.002150270	0.007098800	5.000000
0.002150270	0.01209880	0
0.002150270	0.01709880	1.000000
0.002150270	0.02209880	0
0.002150270	0.02709880	0
0.002150270	0.03209880	2.000000
0.002150270	0.03709880	2.000000
0.002150270	0.04209880	3.000000
0.002150270	0.04709880	0
0.002150270	0.05209880	0
0.002150270	0.05709880	2.000000
0.002650270	(0.05790120)	0
0.002650270	(0.05290120)	0
0.002650270	(0.04790120)	0
0.002650270	(0.04290120)	1.000000
0.002650270	(0.03790120)	1.000000
0.002650270	(0.03290120)	3.000000
0.002650270	(0.02790120)	3.000000
0.002650270	(0.02290120)	3.000000
0.002650270	(0.01790120)	3.000000
0.002650270	(0.01290120)	10.00000
0.002650270	(0.007901200)	32.00000
0.002650270	(0.002901200)	330.0000
0.002650270	0.002098800	919.0000
0.002650270	0.007098800	22.00000
0.002650270	0.01209880	9.000000
0.002650270	0.01709880	4.000000
0.002650270	0.02209880	3.000000
0.002650270	0.02709880	2.000000
0.002650270	0.03209880	5.000000
0.002650270	0.03709880	3.000000
0.002650270	0.04209880	2.000000
0.002650270	0.04709880	0
0.002650270	0.05209880	1.000000
0.002650270	0.05709880	1.000000
0.003150270	(0.05790120)	0
0.003150270	(0.05290120)	0
0.003150270	(0.04790120)	1.000000
0.003150270	(0.04290120)	0
0.003150270	(0.03790120)	0
0.003150270	(0.03290120)	4.000000
0.003150270	(0.02790120)	1.000000
0.003150270	(0.02290120)	0
0.003150270	(0.01790120)	3.000000
0.003150270	(0.01290120)	9.000000
0.003150270	(0.007901200)	35.00000
0.003150270	(0.002901200)	765.0000
0.003150270	0.002098800	1985.000
0.003150270	0.007098800	34.00000
0.003150270	0.01209880	7.000000
0.003150270	0.01709880	1.000000
0.003150270	0.02209880	2.000000
0.003150270	0.02709880	0
0.003150270	0.03209880	2.000000
0.003150270	0.03709880	2.000000
0.003150270	0.04209880	0
0.003150270	0.04709880	0
0.003150270	0.05209880	0
0.003150270	0.05709880	0
0.003650270	(0.05790120)	0
0.003650270	(0.05290120)	0
0.003650270	(0.04790120)	0
0.003650270	(0.04290120)	0
0.003650270	(0.03790120)	0
0.003650270	(0.03290120)	0
0.003650270	(0.02790120)	0
0.003650270	(0.02290120)	2.000000
0.003650270	(0.01790120)	0
0.003650270	(0.01290120)	2.000000
0.003650270	(0.007901200)	19.00000
0.003650270	(0.002901200)	101.0000
0.003650270	0.002098800	174.0000
0.003650270	0.007098800	15.00000
0.003650270	0.01209880	2.000000
0.003650270	0.01709880	6.000000
0.003650270	0.02209880	0
0.003650270	0.02709880	2.000000
0.003650270	0.03209880	2.000000
0.003650270	0.03709880	4.000000
0.003650270	0.04209880	1.000000
0.003650270	0.04709880	2.000000
0.003650270	0.05209880	0
0.003650270	0.05709880	1.000000
0.004150270	(0.05790120)	0
0.004150270	(0.05290120)	0
0.004150270	(0.04790120)	0
0.004150270	(0.04290120)	0
0.004150270	(0.03790120)	0
0.004150270	(0.03290120)	0
0.004150270	(0.02790120)	0
