#N_{tot} = 10^5
## X	 |N
0.01400492	5290.551
0.02400492	4566.291
0.03400492	515.0298
0.04400492	358.6815
0.05400492	450.6511
0.06400492	6686.190
0.07400492	11195.00
0.08400492	625.3933
0.09400492	360.9807
0.1040049	432.2571
0.1140049	2407.304
0.1240049	7980.000
0.1340049	11195.00
0.1440049	2054.000
0.1540049	266.0000
0.1640049	117.0000
0.1740049	93.00000
0.1840049	33.00000
0.1940049	43.00000
0.2040049	38.00000
0.2140049	36.00000
0.2240049	20.00000
0.2340049	23.00000
0.2440049	31.00000
0.2540049	22.00000
