#N_{tot} = 10^5
## Y	 |N
0.004150050	74.00000
0.004650050	31.00000
0.005150050	59.00000
0.005650050	89.00000
0.006150050	185.0000
0.006650050	3366.000
0.007150050	4644.000
0.007650050	1265.000
0.008150050	169.0000
0.008650050	103.0000
0.009150050	53.00000
0.009650050	49.00000
0.01015005	55.00000
0.01065005	80.00000
0.01115005	96.00000
0.01165005	117.0000
0.01215005	1528.000
0.01265005	4432.000
0.01315005	3563.000
0.01365005	2523.000
0.01415005	659.0000
0.01465005	168.0000
0.01515005	65.00000
